name,city,contact,address,phone,website,description,last_updated
"HOLY FAMILY SHELTER - Dorchester, MA ","Boston, MA",,"1 Lingard Street Dorchester, MA 02125",,,We currently do not have an active phone number for this shelter. I am not sure if this shelter itself is still active - Mike (HomelessShelterDirectory.org) Do you have items to donate? Contact HOLY FAMILY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"CRITTENTON HASTINGS HOUSE - Brighton, MA ","Boston, MA",,"10 Pertshire Road Brighton, MA 02135",,617 782 7600,Do you have items to donate? Contact CRITTENTON HASTINGS HOUSE at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"Chardon Street Shelter for Women and Children - Boston, MA ","Boston, MA",,"41 New Chardon Street Boston, MA 02114",,617-720-3611,Temporary Home for Women and children. Do you have items to donate? Contact Chardon Street Shelter for Women and Children at the phone number provided above to see if they can use any items you may have to donate.,
"Y2Y Harvard Square - Seasonal Shelter - Cambridge, MA ","Boston, MA",,"1 Church St Cambridge, MA",(617) 864-0795,http://y2yharvardsquare.org/,"Y2Y is an emergency shelter for young adults. We accept anyone between the ages of 18-24. We also accept some 25 year-olds, as long as they were still 24 years of age at the beginning of our operational season (November 1st). Under no circumstances can we accept guests who are less than 18 years old.Y2Y is not a wet shelter or a dry shelter. It is a safe shelter. At the door each night, our youth worker on staff will assess if everyone is safe to be in the space (i.e. not a potential danger to themselves and others). Our youth worker will also assess whether everyone who enters the shelter will be a non-disruptive and constructive presence in the space that evening.Because of our youth-to-youth volunteer model, we don’t have the ability to accept guests who need close medical supervision or guests who may be disruptive in the space. We use behavioral, not biological, thresholds to determine safety.Getting A BedY2Y offers two kinds of stays, 30-night stays and 1-night stays. We only give away beds by lottery. Here is a printable version of information about Y2Y, services provided, and how to receive a bed.30 Night Stays At ShelterEnter the 30-night bed lottery by calling us in the morning at (617)864-0795 between 8:00 A.M and 8:45 A.M in the morning. A Y2Y staff member will ask for your name and date of birth, and then give you a lottery number.To check if you have won the 30-night lottery, call us back after 8:50 A.M. or come to the entrance of the shelter, where we will post winning lottery numbers daily.1 Night StaysEnter the 1-night bed lottery by calling us in the evening between 9:00 P.M. and 9:30 P.M. Then, call back after 9:35 P.M. to check if you have won a bed for that night. You must arrive at the shelter by 11:45 P.M.You may enter both the 30-night lottery and the 1-night lottery on the same day. For example, if you call us in the morning but do not receive a 30-night bed, you may call us that same evening to enter the 1-night lottery.More InformationOn a few days, beds will not be available at Y2Y if we have no space. If you call, a Y2Y staff member will tell you that beds are not available that day. We encourage you to call back the next day to re-enter the lottery, as beds will frequently open up.Do not enter the 30-night lottery more than once per day, or you may be disqualified. However, if you do not win the 30-night lottery, we encourage you to call back in the evening for a one-night stay, or call back the next day to re-enter the lottery.Case mangers, social workers, and other individuals may enter the lottery on behalf of someone else. If you are entering the lottery on behalf of someone else, make sure that person is aware you are doing so, and ready to accept a bed immediately. Make sure no one else is entering the lottery on behalf of that person, since double entries may lead to disqualification.You can contact the shelter through email: info@y2yharvardsquare.org. Volunteers Requests by Y2Y Harvard Square - Seasonal Shelter: As a volunteer with Y2Y, you will have the opportunity to both change lives and experience personal change. You will have the opportunity to learn from your fellow volunteers on shift, from staff members through reflections, and from our guests through countless meaningful conversations shared in the shelter. You’ll become part of our kind, supportive, and fun community with almost 200 of your peers. We hope that Y2Y can be a place for all of us — volunteers, staff, and guests — to rest, grow, and lead together, and we sincerely hope that you will join us! Do you have items to donate? Contact Y2Y Harvard Square - Seasonal Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"WOMEN UNIT SHELTER - Boston, MA ","Boston, MA",,"363 Albany Street Boston, MA 02118",,617 482 4944,Do you have items to donate? Contact WOMEN UNIT SHELTER at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"ANCHOR INN (Pine St) - North Quincy, MA ","Boston, MA",,"P.O. Box 240 North Quincy, MA 02171",,617 328 5380,Services: 136 bed shelter. Must be 18 years or older. Must arrive after a detox. Must be clean and sober for 30 days +. Can stay up to 2 years. The Anchor Inn also provides transitional housing. Do you have items to donate? Contact ANCHOR INN (Pine St) at the phone number provided above to see if they can use any items you may have to donate.,
"WOMEN UNIT SHELTER - Boston, MA ","Boston, MA",,"363 Albany Street Boston, MA 02118",,617 482 4944,Do you have items to donate? Contact WOMEN UNIT SHELTER at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"Salvation Army Emergency Shelter - Cambridge, MA ","Boston, MA",,"402 Massachusetts Ave Cambridge, MA 02139",,(617) 547-3400,"This Salvation Army location provides much more than an emergency shelter. They also provide: Alcohol and Drug Treatment, Military Personnel Assistance, Transitional Care & Work Release, Emergency Financial Assistance, rent assistance, Transitional Housing. There are many other services. Contact them for help and details. Do you have items to donate? Contact Salvation Army Emergency Shelter at the phone number provided above to see if they can use any items you may have to donate.",
"Pine Street Inn Boston - Men's Shelter - Boston, MA ","Boston, MA",,"444 Harrison Avenue Boston, MA 02118",617-482-4944,http://www.pinestreetinn.org/ : Follow us on Facebook,"Men seeking emergency shelter for the first time are encouraged to come to the Men's Inn, located at 444 Harrison Avenue, Monday through Saturday, 8 a.m.– 6 p.m. During these hours, an intake specialist can meet with you to assess your needs and help you to find the best options for your situation. Staff are available to assist you in securing permanent housing.The Men’s Inn provides emergency shelter services to over 350 men each night. Guests typically receive a bed after meeting with a case manager, who will help them chart the next steps toward securing permanent or transitional housing, job training, substance abuse counseling or other needed services.In addition to a bed, the Men’s Inn offers guests two meals a day, shower and laundry facilities and a health clinic.From the Men’s Inn, many guests move on to one of Pine Street’s transitional programs. Do you have items to donate? Contact Pine Street Inn Boston - Men's Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"MASS BAY CHAPTER AMERICAN RED CROSS - Boston, MA ","Boston, MA",,"285 Columbus Ave. Boston, MA 02116",,1 800 564 1234,Do you have items to donate? Contact MASS BAY CHAPTER AMERICAN RED CROSS at the phone number provided above to see if they can use any items you may have to donate.,
