state,name,url,fa-map-marker,fa-phone,fa-globe,fa-money,about,services,img
ma,Amherst Emergency Shelter/Jessie's House,https://www.shelterlist.com/details/amherst-emergency-shelter,"17 Seelye Steet  Amherst, MA 01002",(413) 658-0060,http://www.staff.amherstsouthchurch.org/service-and-mission/missiontargets/jessie-house,,"['About this Shelter', ""The Center for Human Development provides a broad range of high quality, community-oriented human services. Jessie's House is Hampshire County's only shelter offering emergency housing for families.""]","['Men are welcome.', 'Women are welcome.', 'Children are welcome.', 'Families are welcome.', 'Provides emergency shelters.', 'Is faith based.', 'Provides counseling.']",http://www.shelterlist.com/gallery/1092_amherst-emergency-shelter_ths.jpg
ma,Open Pantry Teen Living Program,https://www.shelterlist.com/details/open-pantry-teen-living-program,"6870 Calhoun Steet  Springfield, MA 01107",(413) 731-5960,http://www.openpantry.org/teen-parent-program.php,http://www.openpantry.org/donate.php,"['About this Shelter', 'The Teen Parent Program (TPP), a program of Open Pantry Community Services, Inc., is a residential program for teenage parents and their children who are pregnant and/or parenting and in need of a safe place toÂ live.', 'Open Pantry has been operating this program since 1995.Â', 'TPP is designed to meet the immediate and long-term needs of teenage parents and their children.', 'The program is designed to assist teen parents in accessing resources, both their own inner resources and those supportive services available in the community.', 'This design not only helps participants to meet their needs, but also to foster long-term goals of self-sufficiency and independence as well as realistic plans to achieve these goals.', 'Mission Statement: With humanity and dignity, we endeavor to provide meaningful services and processes which can assist people who are hungry, homeless, or disadvantaged to improve the quality of their lives.']",[],http://www.shelterlist.com/gallery/228__gbi.jpg
ma,Craig's Doors Shelter,https://www.shelterlist.com/details/craigs-place-emergency-shelter,"434 North Pleasant St.  Amherst, MA 01002",(413) 256-0704,https://www.craigsdoors.org/ourservices/,https://www.craigsdoors.org/donate/,"['About this Shelter', ""Craig's Doors provides safe, caring shelter for people experiencing homelessness while working to develop supportive housing, and helps build an improved quality of life for those without a home."", ""Craig's Doors is committed to helping our guests foster a sense of empowerment by improving their lives through the creation of safe, respectful shelter and housing.""]",[],http://www.shelterlist.com/gallery/1488_craigs-place-emergency-shelter_slq.png
ma,Loreto House,https://www.shelterlist.com/details/loreto-house-treatment-facility,"51 Hamilton Steet  Holyoke, MA 01040",(413) 533-5909,http://www.provministries.org/locations/loreto-house/,,"['About this Shelter', 'Loreto House is an 18-month transitional housing program for men in recovery from the traumas of addiction and/or homelessness.']",[],https://www.shelterlist.com/gallery/2052_loreto-house-treatment-facility_toj.jpg
ma,Main Street Shelter,https://www.shelterlist.com/details/main-street-shelter,"319 Main Street  Holyoke, MA 01040",(413) 534-2466,https://www.valleyopp.com/housing/homeless-housing,,"['About this Shelter', '14-room family congregate shelter']","['Men are welcome.', 'Women are welcome.', 'Children are welcome.', 'Teenage children are welcome.', 'Senior citizens are welcome.', 'Families are welcome.', 'Provides supportive housing.']",https://www.shelterlist.com/gallery/_kdirpocg.png
ma,Broderick House,https://www.shelterlist.com/details/broderick-house,"56 Cabot St  Holyoke, MA 01040",(413) 536-9109,http://www.provministries.org/locations/broderick-house/,,"['About this Shelter', 'The Broderick House is a Single Room Occupancy supportive sober living community for men who have experienced the traumas of homelessness and/or addiction and are seeking a safe, community to grow and thrive.']",[],https://www.shelterlist.com/gallery/2374_broderick-house_eie.jpg
ma,Greenfield Family Inn Shelter,https://www.shelterlist.com/details/greenfield-family-inn-shelter,"128 Federal Street  Greenfield, MA 01301",(413) 774-6382,http://www.servicenet.org,,"['About this Shelter', ""Greenfield Family Inn and Our Friends' House, provide temporary room and board, assistance in finding permanent housing, and a variety of other support services including a new Rapid ReHousing program, through which hope to minimize each family's crisis by facilitating their move back into stable housing as soon as possible.""]","['Men are welcome.', 'Women are welcome.', 'Children are welcome.', 'Teenage children are welcome.', 'Senior citizens are welcome.', 'Families are welcome.', 'Provides emergency shelters.', 'Provides transitional shelters.', 'Provides supportive housing.', 'Has special services for veterans.', 'Provides services for case management.', 'Provides counseling.']",http://www.shelterlist.com/gallery/2194_greenfield-family-inn-shelter_gxs.png
ma,Shadows Shelter for Women,https://www.shelterlist.com/details/shelter-hope-and-dignity-of-women-searching,"25 Central Steet  Ashland, MA 01721",(508) 231-8710,https://www.smoc.org/shadows.php,,"['About this Shelter', 'Shadows Shelter for Women has the capacity for 10 women.', '60 days is the length of stay.', 'Services:', 'Advocacy;', 'counseling;', '3 meals/day;', 'clothing;', 'nurse once/week;', 'limited transportation', 'Restrictions:', 'Sobriety;', '10 pm curfew', 'Mission Statement: To improve the quality of life of low-income and disadvantaged individuals and families by advocating for their needs and rights; providing services; educating the community; building a community of support; participating in coalitions with other advocates and searching for new resources and partnerships']",[],http://www.shelterlist.com/gallery/514_shelter-hope-and-dignity-of-women-searching_tdn.jpg
ma,Casa Nueva Vida,https://www.shelterlist.com/details/casa-nueva-vida,"57 Jackson St  Lawrence, MA 02130",(617) 524-6332,http://www.casanuevavida.org,,"['About this Shelter', 'Casa Nueva Vida is committed to help homeless families find their own affordable and permanent housing as well as helping them build the skills necessary to stay out of homelessness and become active member of society.']","['Men are welcome.', 'Women are welcome.', 'Children are welcome.', 'Senior citizens are welcome.', 'Families are welcome.', 'Provides emergency shelters.', 'Provides services for case management.']",http://www.shelterlist.com/gallery/2177_casa-nueva-vida_zpd.png
ma,Pathways Shelter,https://www.shelterlist.com/details/pathways-shelter,"248 Edgell Rd  Framingham, MA 01701",(508) 879-5047,http://www.smoc.org/pathways.php,http://www.smoc.org/donate.php,"['About this Shelter', 'Pathways Family Shelter is a fourteen family congregate shelter for homeless families.', 'It is staffed 24 hours a day.', 'Parents and children of each family share one private bedroom.', 'They share the rest of the common spaces such as the kitchen, dining room, living room, and bathrooms with the rest of the families. Staff is on site 24 hours a day and assists families in acquiring permanent, affordable housing, as well as medical, education, vocational, and social services.']",[],http://www.shelterlist.com/gallery/_nbnnlrlj.png
ma,South Middlesex Opportunity Council,https://www.shelterlist.com/details/south-middlesex-opportunity-council,"300 Howard Steet  Framingham, MA 01702",(508) 620-2300,http://www.smoc.org/behavioral-health-services.php,http://www.smoc.org/donate.php,"['About this Shelter', ""SMOC's mission is to improve the quality of life of low-income and disadvantaged individuals and families by advocating for their needs and rights; providing services; educating the community; building a community of support; participating in coalitions with other advocates and searching for new resources and partnerships.""]",[],https://www.shelterlist.com/gallery/2556_south-middlesex-opportunity-council_kwc.fna&oh=6e3d85ca3a4666402db5e9325f9b524c&oe=5D4A38BA
ma,Marlboro Shelter- Roland's House,https://www.shelterlist.com/details/marlboro-shelter,"57 Mechanic Steet  Marlboro, MA 01752",(508) 481-7847,http://www.smoc.org/marlboro-shelter.php,,"['About this Shelter', ""The Roland's House is a temporary emergency shelter serving up to 18 unaccompanied adult males."", ""Roland's House is linked to SMOC's continuum of housing and services through the Common Ground Resource Center."", ""Guests at Roland's House are eligible for employment and housing search services, mental health and substance abuse services and more."", 'Client has to be sober, single and over the age of 18.']",[],http://www.shelterlist.com/gallery/_bhtxvgwz.png
ma,Crossroads Rhode Island,https://www.shelterlist.com/details/crossroads-rhode-island,"160 Broad St  Providence, RI 02903",(401) 521-2255,http://www.crossroadsri.org/,https://www.crossroadsri.org/Ways-to-Help/Give-Now,"['About this Shelter', 'The mission of Crossroads Rhode Island is to help homeless or at-risk individuals and families secure stable homes.']",[],https://www.shelterlist.com/gallery/2147_crossroads-rhode-island_vnf.png
